DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\pydantic\json_schema.py first seen with mtime 1743334440.060247
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\special\_gufuncs.cp312-win_amd64.pyd first seen with mtime 1743333842.4433596
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\pprint.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1743333587.8413987
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\stats\biasedurn.py first seen with mtime 1743333842.7553964
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\_lib\_finite_differences.py first seen with mtime 1743333843.076281
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1743333586.5940576
DEBUG 2025-05-08 14:00:20,642 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\utils\random.py first seen with mtime 1743333962.6460242
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1743333588.1112256
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\optimize\_dcsrch.py first seen with mtime 1743333841.471772
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\zoneinfo\_common.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\preprocessing\_target_encoder.py first seen with mtime 1743333962.2762828
